0,dn,do,dl,dm,dj,dk,dh,di,df,dg,dd,de,db,dc,da,dv,dt,du,dr,ds,dp,dq,bd,be,bf,bg,ba,bb,bc,bl,bm,bn,bo,bh,bi,bj,bk,bt,bu,bv,bw,bp,bq,br,bs,bx,by,bz,ck,cj,ci,ch,co,cn,cm,cl,cc,cb,ca,cg,cf,ce,cd,cz,cy,cx,cs,cr,cq,cp,cw,cv,cu,ct,aa,ac,ab,ae,ad,ag,af,ai,ah,ak,aj,am,al,ao,an,aq,ap,as,ar,au,at,aw,av,ay,ax,az
dn,141,399,151,16,410,166,231,29,326,415,110,467,317,274,103,438,212,21,463,184,147,29,16,21,438,434,235,40,69,474,280,398,38,32,389,58,411,468,216,57,359,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do,251,444,270,69,186,425,256,40,253,17,440,124,365,498,449,264,162,350,273,455,121,347,76,202,389,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dl,173,322,190,323,381,386,141,486,277,314,318,337,77,337,216,485,357,487,496,417,293,300,235,185,209,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm,323,85,18,220,220,32,113,166,188,313,78,411,249,34,49,472,16,325,89,327,494,460,219,216,145,220,479,18,239,448,53,58,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dj,184,213,403,295,486,301,141,257,236,427,369,441,359,126,136,82,440,450,162,11,237,394,352,338,10,51,365,410,91,409,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dk,301,276,16,207,233,477,220,5,284,34,497,330,360,347,471,202,139,39,11,239,372,370,1,308,416,434,385,209,352,351,32,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dh,279,226,48,475,262,351,327,118,319,48,28,421,300,150,263,279,339,0,72,46,377,226,99,187,335,231,273,469,200,51,53,363,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di,57,389,445,51,308,370,123,419,342,222,83,129,415,84,353,286,280,8,61,155,315,191,128,192,232,297,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df,438,383,210,260,490,356,358,328,495,462,149,223,318,118,324,452,153,184,225,193,322,26,389,142,311,212,306,285,259,80,3,53,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dg,128,242,235,258,66,249,476,86,7,169,354,431,54,15,155,311,461,165,390,63,321,125,381,456,221,344,177,425,205,292,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd,183,464,50,123,21,431,342,295,233,130,293,352,397,81,313,340,291,364,259,478,325,314,6,71,301,384,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,319,77,382,411,310,34,139,135,234,390,289,496,354,70,490,29,166,319,195,11,148,121,388,296,72,437,106,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
db,306,327,115,68,461,120,8,141,259,317,370,72,254,160,363,180,406,96,498,261,212,363,189,17,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc,144,331,263,415,245,77,74,286,132,106,471,69,458,268,469,420,149,235,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da,65,97,288,320,216,197,321,131,401,320,302,14,173,385,103,322,488,220,259,106,3,118,236,302,418,145,164,361,332,357,439,44,62,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
